ERROR: system: AutoSpawner is already defined in that package
INFO: MineTweaker: Building registry
INFO: MineTweaker: Sucessfully built item registry
INFO: Adding command minetweaker
INFO: Adding minetweaker command mfr
<AdvancedMachines:blockAdvMachine>, §6Роторный дробитель
<PneumaticCraft:pneumaticHelmet>, Пневматический шлем
<PneumaticCraft:pneumaticWrench>, Пневматический ключ
<PneumaticCraft:potionPlant>, Растение зелий
<PneumaticCraft:pressureChamberInterface>, Интерфейс камеры давления
<PneumaticCraft:pressureChamberValve>, Клапан камеры давления
<PneumaticCraft:pressureChamberWall>, Стена камеры давления
<PneumaticCraft:pressureGauge>, Датчик давления
<PneumaticCraft:pressureGaugeModule>, Модуль «Датчик давления трубы»
<PneumaticCraft:pressureTube>, Труба под давлением
<PneumaticCraft:printedCircuitBoard>, Печатная плата
<PneumaticCraft:programmableController>, Programmable Controller
<PneumaticCraft:programmer>, Программатор
<PneumaticCraft:programmingPuzzle>, Black Programming Puzzle
<PneumaticCraft:propulsionPlant>, Растение толчка
<PneumaticCraft:rainPlant>, Растение дождя
<PneumaticCraft:refinery>, Очистительный завод
<PneumaticCraft:regulatorTubeModule>, Модуль «Регулировщик трубы»
<PneumaticCraft:remote>, Remote
<PneumaticCraft:repulsionPlant>, Растение отталкивания
<PneumaticCraft:safetyTubeModule>, Модуль «Безопасная труба»
<PneumaticCraft:securityStation>, Станция безопасности
<PneumaticCraft:seismicSensor>, Seismic Sensor
<PneumaticCraft:sentryTurret>, Sentry Turret
<PneumaticCraft:slimePlant>, Растение слизи
<PneumaticCraft:squidPlant>, Растение спрута
<PneumaticCraft:stoneBase>, Каменная основа
<PneumaticCraft:stopWorm>, СТОП! -Червь
<PneumaticCraft:thermopneumaticProcessingPlant>, Thermopneumatic Processing Plant
<PneumaticCraft:transistor>, Транзистор
<PneumaticCraft:turbineBlade>, Лезвие турбины
<PneumaticCraft:turbineRotor>, Ротор турбины
<PneumaticCraft:unassembledPCB>, Разобранная печатная плата
<PneumaticCraft:universalSensor>, Универсальный датчик
<PneumaticCraft:uvLightBox>, UV Light Box
<PneumaticCraft:vacuumPump>, Вакуумная помпа
<PneumaticCraft:vortexCannon>, Вихревая пушка
<PneumaticCraft:vortexTube>, Vortex Tube
<PowerUtils:BlockMain>, Power Converter
<PowerUtils:pu_storage_module>, Module IC
<ProjRed|Core:projectred.core.datacard>, Карта памяти
<ProjRed|Core:projectred.core.drawplate>, Волока
<ProjRed|Core:projectred.core.part>, Печатная плата
<ProjRed|Core:projectred.core.screwdriver>, Отвёртка
<ProjRed|Core:projectred.core.wiredebugger>, Отладчик проводов
<ProjRed|Fabrication:projectred.fabrication.icblueprint>, Чертеж микросхемы
<ProjRed|Fabrication:projectred.fabrication.icchip>, Микросхема
<ProjRed|Fabrication:projectred.integration.icblock>, Микросхемный верстак
<ProjRed|Integration:projectred.integration.gate>, ИЛИ гейт
<ProjRed|Transmission:projectred.transmission.framewire>, Провод из красного сплава в оболочке
<ProjRed|Transmission:projectred.transmission.wire>, Провод из красного сплава
<Railcraft:anvil>, Стальная наковальня
<Railcraft:armor.goggles>, Очки обходчика путей
<Railcraft:armor.overalls>, Комбинезон инженера
<Railcraft:armor.steel.boots>, Стальные ботинки
<Railcraft:armor.steel.helmet>, Стальной шлем
<Railcraft:armor.steel.legs>, Стальные поножи
<Railcraft:armor.steel.plate>, Стальная кираса
<Railcraft:backpack.apothecary.t1>, Рюкзак фармацевта
<Railcraft:backpack.apothecary.t2>, Тканный рюкзак фармацевта
<Railcraft:backpack.iceman.t1>, Рюкзак альпиниста
<Railcraft:backpack.iceman.t2>, Тканый рюкзак альпиниста
<Railcraft:backpack.trackman.t1>, Рюкзак обходчика путей
<Railcraft:backpack.trackman.t2>, Тканый рюкзак обходчика путей
<Railcraft:borehead.diamond>, Алмазная головка бура
<Railcraft:borehead.iron>, Железная головка бура
<Railcraft:borehead.steel>, Стальная головка бура
<Railcraft:brick.abyssal>, Кирпич бездны
<Railcraft:brick.bleachedbone>, Костяной кирпич
<Railcraft:brick.bloodstained>, Кровавый кирпич
<Railcraft:brick.frostbound>, Заледеневший кирпич
<Railcraft:brick.infernal>, Дьявольский кирпич
<Railcraft:brick.nether>, tile.railcraft.brick.nether.brick.name
<Railcraft:brick.quarried>, Карьерный кирпич
<Railcraft:brick.sandy>, Песчаный кирпич
<Railcraft:cart.anchor>, Вагонетка с мировым якорем
<Railcraft:cart.anchor.admin>, Вагонетка с якорем администратора
<Railcraft:cart.anchor.personal>, Вагонетка с личным якорем
<Railcraft:cart.bore>, Проходческий щит
<Railcraft:cart.cargo>, Грузовая вагонетка
<Railcraft:cart.energy.batbox>, Вагонетка с энергохранителем
<Railcraft:cart.energy.cesu>, Вагонетка с ЦЭСУ
<Railcraft:cart.energy.mfe>, Вагонетка с МФЭ
<Railcraft:cart.gift>, Вагонетка с подарком
<Railcraft:cart.loco.creative>, Perpetuum Locomotive
<Railcraft:cart.loco.electric>, Электровоз
<Railcraft:cart.loco.steam.solid>, Паровой локомотив
<Railcraft:cart.pumpkin>, Вагонетка с тыквой
<Railcraft:cart.redstone.flux>, Redstone Flux Cart
<Railcraft:cart.tank>, Вагонетка с цистерной
<Railcraft:cart.tnt.wood>, Деревянная вагонетка с динамитом
<Railcraft:cart.track.layer>, Укладчик путей
<Railcraft:cart.track.relayer>, Переукладчик путей
<Railcraft:cart.track.remover>, Убиратель путей
<Railcraft:cart.undercutter>, Врубовая машина
<Railcraft:cart.work>, Вагонетка с верстаком
<Railcraft:cube>, Блок коксового угля
<Railcraft:detector>, Детектор - Инвентарь
<Railcraft:dust>, Обсидиановая пыль
<Railcraft:emblem>, Эмблема
<Railcraft:firestone.cracked>, Потрескавшийся огненный камень
<Railcraft:firestone.cut>, Разрезанный огненный камень
<Railcraft:firestone.raw>, Неочищенный огненный камень
<Railcraft:firestone.recharge>, Заряжающийся огненный камень
<Railcraft:firestone.refined>, Очищенный огненный камень
<Railcraft:fluid.creosote>, Креозотовое масло
<Railcraft:fluid.creosote.bottle>, Бутылка креозотового масла
<Railcraft:fluid.creosote.bucket>, Ведро креозотового масла
<Railcraft:fluid.creosote.can>, Банка креозотового масла
<Railcraft:fluid.creosote.cell>, Капсула креозотового масла
<Railcraft:fluid.creosote.refactory>, Огнеупорная капсула креозотового масла
<Railcraft:fluid.creosote.wax>, Восковая капсула креозотового масла
<Railcraft:fluid.steam>, Пар
<Railcraft:fluid.steam.bottle>, Бутылка пара
<Railcraft:frame>, Опорный каркас для шунтирующего провода
<Railcraft:fuel.coke>, Коксовый уголь
<Railcraft:glass>, Армированное стекло
<Railcraft:ingot>, Стальной слиток
<Railcraft:lantern.metal>, Железный фонарь
<Railcraft:lantern.stone>, Фонарь из камня бездны
<Railcraft:machine.alpha>, Мировой якорь
<Railcraft:machine.beta>, Обшивка железного резервуара
<Railcraft:machine.delta>, Электрический шунтирующий провод
<Railcraft:machine.epsilon>, Электрическое питающее устройство
<Railcraft:machine.gamma>, Загрузчик предметов
<Railcraft:nugget>, Железный самородок
<Railcraft:ore>, Серная руда
<Railcraft:part.bleached.clay>, Отбеленная глина
<Railcraft:part.circuit>, Контрольная схема
<Railcraft:part.gear>, Золотая шестерня
<Railcraft:part.plate>, Железная пластина
<Railcraft:part.rail>, Стандартный рельс
<Railcraft:part.railbed>, Деревянное полотно
<Railcraft:part.rebar>, Арматура
<Railcraft:part.signal.lamp>, Сигнальная лампа
<Railcraft:part.tie>, Деревянная шпала
<Railcraft:part.turbine.blade>, Лопатка турбины
<Railcraft:part.turbine.disk>, Диск турбины
<Railcraft:part.turbine.rotor>, Ротор турбины
<Railcraft:post>, Деревянный столб
<Railcraft:post.metal>, Чёрный металлический столб
<Railcraft:post.metal.platform>, Чёрная металлическая платформа
<Railcraft:residual.heat>, Остаточное тепло
<Railcraft:routing.table>, Таблица маршрутизации
<Railcraft:routing.ticket>, Железнодорожный билет
<Railcraft:routing.ticket.gold>, Золотой железнодорожный билет
<Railcraft:signal>, Блокировщик сигнала
<Railcraft:slab>, Плита из песчаника
<Railcraft:stair>, Ступеньки из песчаника
<Railcraft:tool.crowbar>, Монтировка
<Railcraft:tool.crowbar.magic>, Таум-монтировка
<Railcraft:tool.crowbar.reinforced>, Армированная монтировка
<Railcraft:tool.crowbar.void>, Монтировка из пустотного металла
<Railcraft:tool.electric.meter>, Электросчётчик
<Railcraft:tool.magnifying.glass>, Лупа
<Railcraft:tool.signal.label>, Signal Label
<Railcraft:tool.signal.tuner>, Настройщик сигнала
<Railcraft:tool.steel.axe>, Стальной топор
<Railcraft:tool.steel.hoe>, Стальная мотыга
<Railcraft:tool.steel.pickaxe>, Стальная кирка
<Railcraft:tool.steel.shears>, Стальные ножницы
<Railcraft:tool.steel.shovel>, Стальная лопата
<Railcraft:tool.steel.sword>, Стальной меч
<Railcraft:tool.surveyor>, Блок сигнальной привязки
<Railcraft:tool.whistle.tuner>, Настройщик свистка
<Railcraft:track>, tile.railcraft.default.name
<Railcraft:track.elevator>, Подымающий путь
<Railcraft:upgrade.lapotron>, Лапотроновое улучшение энергоёмкости.name
<Railcraft:wall.alpha>, Стена из дьявольского кирпича
<Railcraft:wall.beta>, Стена из кварца
<Railcraft:worldlogic>, Генератор селитровой руды
<StorageDrawers:compDrawers>, Уплотняющий ящик
<StorageDrawers:controller>, Контроллер ящиков
<StorageDrawers:controllerSlave>, Подчинённый контроллера
<StorageDrawers:framingTable>, Framing Table
<StorageDrawers:fullCustom1>, Framed Drawer
<StorageDrawers:fullCustom2>, Framed Drawers 1x2
<StorageDrawers:fullCustom4>, Framed Drawers 2x2
<StorageDrawers:fullDrawers1>, Ящик из дуба
<StorageDrawers:fullDrawers2>, Ящик из дуба 1x2
<StorageDrawers:fullDrawers4>, Ящик из дуба 2x2
<StorageDrawers:halfCustom2>, Framed Drawers 1x2
<StorageDrawers:halfCustom4>, Framed Drawers 2x2
<StorageDrawers:halfDrawers2>, Компактный ящик из дуба 1x2
<StorageDrawers:halfDrawers4>, Компактный ящик из дуба 2x2
<StorageDrawers:personalKey>, Personal Key
<StorageDrawers:shroudKey>, Concealment Key
<StorageDrawers:tape>, Packing Tape
<StorageDrawers:trim>, Отделка из дуба
<StorageDrawers:trimCustom>, Framed Trim
<StorageDrawers:upgrade>, item.storagedrawers.upgrade.name
<StorageDrawers:upgradeCreative>, Creative Storage Upgrade
<StorageDrawers:upgradeLock>, Ключ от ящика
<StorageDrawers:upgradeRedstone>, Redstone Upgrade
<StorageDrawers:upgradeStatus>, item.storagedrawers.upgradeStatus.name
<StorageDrawers:upgradeTemplate>, Шаблон улучшения
<StorageDrawers:upgradeVoid>, Пустотное улучшение
<TConstruct:Armor.DryingRack>, Доска для вяления
<TConstruct:ArrowAmmo>, item.InfiTool.name
<TConstruct:BattleSignBlock>, tile.Battlesign.name
<TConstruct:BoltAmmo>, item.InfiTool.name
<TConstruct:BoltPart>, Деревянный болт
<TConstruct:Boneana>, Палаш
<TConstruct:BowLimbPart>, Деревянное плечо лука
<TConstruct:Cast>, Слепок сюрикэна
<TConstruct:CastingChannel>, Разливочный канал
<TConstruct:CraftedSoil>, Слизневая грязь
<TConstruct:CraftingSlab>, Верстак инженера
<TConstruct:CraftingStation>, Верстак инженера
<TConstruct:Crossbow>, item.InfiTool.name
<TConstruct:CrossbowBodyPart>, Деревянная основа арбалета
<TConstruct:CrossbowLimbPart>, Деревянное плечо арбалета
<TConstruct:FurnaceSlab>, Печь-плита
<TConstruct:GlassArrows>, item.tconstruct.glassArrows.name
<TConstruct:GlassBlock>, Прозрачное стекло
<TConstruct:GlassBlock.StainedClear>, Белое стекло
<TConstruct:GlassPane>, Прозрачная стеклянная панель
<TConstruct:GlassPaneClearStained>, Белая стеклянная панель
<TConstruct:GlueBlock>, Блок клея
<TConstruct:GravelOre>, Железная гравиевая руда
<TConstruct:HeldItemBlock>, Сковорода
<TConstruct:Javelin>, item.InfiTool.name
<TConstruct:LavaTank>, Обожжённый резервуар
<TConstruct:LavaTankNether>, Обожжённый резервуар
<TConstruct:LongBow>, item.InfiTool.name
<TConstruct:MeatBlock>, Ветчина на кости
<TConstruct:MetalBlock>, Кобальтовый блок
<TConstruct:Pattern>, Схема сюрикэна
<TConstruct:Redstone.Landmine>, Мина
<TConstruct:SearedBlock>, Литейный стол
<TConstruct:SearedBlockNether>, Литейный стол
<TConstruct:SearedBrick>, Шлак Нижнего мира
<TConstruct:SearedSlab>, Плита из обожжённого кирпича
<TConstruct:ShortBow>, item.InfiTool.name
<TConstruct:Shuriken>, item.InfiTool.name
<TConstruct:ShurikenPart>, Деревянный сюрикэн
<TConstruct:Smeltery>, Контроллер плавильни
<TConstruct:SmelteryNether>, Контроллер плавильни
<TConstruct:SpeedBlock>, Грубый бурый песчаник
<TConstruct:SpeedSlab>, Плита из грубого бурого песчаника
<TConstruct:ThrowingKnife>, item.InfiTool.name
<TConstruct:ToolForgeBlock>, Инженерная кузня
<TConstruct:ToolStationBlock>, Инженерная станция
<TConstruct:WoolSlab1>, Плита светло-серой шерсти
<TConstruct:WoolSlab2>, Плита из серой шерсти
<TConstruct:arrowhead>, Деревянный наконечник стрелы
<TConstruct:battleaxe>, Боевой топор
<TConstruct:battlesign>, Боевая табличка
<TConstruct:binding>, Деревянное крепление
<TConstruct:blankPattern>, Пустая схема
<TConstruct:blood.channel>, Сточная кровь
<TConstruct:bootsWood>, Деревянные ботинки
<TConstruct:bowstring>, Тетива
<TConstruct:broadAxeHead>, Деревянный большой обух топора
<TConstruct:broadsword>, Палаш
<TConstruct:buckets>, Ведро расплавленного железа
<TConstruct:chestplateWood>, Деревянная кираса
<TConstruct:chisel>, Стамеска
<TConstruct:chiselHead>, Деревянное лезвие стамески
<TConstruct:cleaver>, Тесак
<TConstruct:creativeModifier>, Творческий модификатор инструмента
<TConstruct:crossbar>, Деревянная поперечная гарда
<TConstruct:cutlass>, Сабля
<TConstruct:dagger>, Кинжал
<TConstruct:decoration.multibrick>, Обсидиановый кирпич
<TConstruct:decoration.multibrickfancy>, Красивый обсидиановый кирпич
<TConstruct:decoration.multibrickmetal>, Алюмитовый кирпич
<TConstruct:decoration.stoneladder>, Лестница
<TConstruct:decoration.stonetorch>, Факел
<TConstruct:diamondApple>, Драгоценное яблоко
<TConstruct:excavator>, Копалка
<TConstruct:excavatorHead>, Деревянная пластина копалки
<TConstruct:explosive.slime>, Бомба из слизи
<TConstruct:fletching>, Перьевое оперение
<TConstruct:fluid.ender>, Жидкость Края
<TConstruct:fluid.molten.alubrass>, Расплавленная алюминиевая латунь
<TConstruct:fluid.molten.aluminum>, Расплавленной алюминий
<TConstruct:fluid.molten.alumite>, Расплавленный алюмит
<TConstruct:fluid.molten.ardite>, Расплавленный ардит
<TConstruct:fluid.molten.bronze>, Расплавленная бронза
<TConstruct:fluid.molten.cobalt>, Расплавленный кобальт
<TConstruct:fluid.molten.copper>, Расплавленная медь
<TConstruct:fluid.molten.electrum>, Расплавленный электрум
<TConstruct:fluid.molten.enderium>, Расплавленный эндериум
<TConstruct:fluid.molten.glass>, Расплавленное стекло
<TConstruct:fluid.molten.gold>, Расплавленное золото
<TConstruct:fluid.molten.invar>, Расплавленный инвар
<TConstruct:fluid.molten.iron>, Расплавленное железо
<TConstruct:fluid.molten.lead>, Расплавленный свинец
<TConstruct:fluid.molten.lumium>, Расплавленный ламиум
<TConstruct:fluid.molten.manyullyn>, Расплавленный мануллин
<TConstruct:fluid.molten.mithril>, Расплавленный мифрил
<TConstruct:fluid.molten.nickel>, Расплавленный никель
<TConstruct:fluid.molten.obsidian>, Расплавленный обсидиан
<TConstruct:fluid.molten.pigiron>, Расплавленное свиное железо
<TConstruct:fluid.molten.shiny>, Расплавленная платина
<TConstruct:fluid.molten.signalum>, Расплавленный синал
<TConstruct:fluid.molten.silver>, Расплавленное серебро
<TConstruct:fluid.molten.steel>, Расплавленная сталь
<TConstruct:fluid.molten.tin>, Жидкое олово
<TConstruct:frypan>, Сковорода
<TConstruct:frypanHead>, Деревянная сковорода
<TConstruct:fullGuard>, Деревянная полная гарда
<TConstruct:gearCast>, Слепок шестерни
<TConstruct:goldHead>, Золотистая голова
<TConstruct:hammer>, Молот
<TConstruct:hammerHead>, Деревянный боёк молота
<TConstruct:handGuard>, Деревянная малая гарда
<TConstruct:hatchet>, Топорик
<TConstruct:hatchetHead>, Деревянный обух топора
<TConstruct:heartCanister>, Пустая банка
<TConstruct:heavyPlate>, Деревянная большая пластина
<TConstruct:helmetWood>, Деревянный шлем
<TConstruct:jerky>, Вяленая говядина
<TConstruct:knapsack>, Ранец
<TConstruct:knifeBlade>, Деревянное лезвие ножа
<TConstruct:largeSwordBlade>, Деревянное большое лезвие меча
<TConstruct:leggingsWood>, Деревянные поножи
<TConstruct:liquid.blood>, Кровь
<TConstruct:liquid.glue>, Клей
<TConstruct:liquid.slime>, Сжиженная слизь
<TConstruct:longsword>, Полуторный меч
<TConstruct:lumberaxe>, Большой топор
<TConstruct:manualBook>, Материалы и Вы: Том 1
<TConstruct:materials>, Кучка бумаги
<TConstruct:mattock>, Мотыготопор
<TConstruct:metalPattern>, Слепок слитка
<TConstruct:molten.emerald>, Сжиженный изумруд
<TConstruct:molten.stone>, Обожжённый камень
<TConstruct:ore.berries.one>, Железный рудный куст
<TConstruct:ore.berries.two>, Алюминиевый рудный куст
<TConstruct:oreBerries>, Кусочки железа
<TConstruct:pickaxe>, Кирка
<TConstruct:pickaxeHead>, Деревянный обух кирки
<TConstruct:potionLauncher>, Метатель зелий
<TConstruct:rail.wood>, Деревянные рельсы
<TConstruct:rapier>, Рапира
<TConstruct:scythe>, Коса
<TConstruct:scytheBlade>, Деревянное лезвие косы
<TConstruct:shovel>, Лопата
<TConstruct:shovelHead>, Деревянный штык лопаты
<TConstruct:signHead>, Деревянная табличка
<TConstruct:slime.channel>, Сточная слизь
<TConstruct:slime.gel>, Застывшая синяя слизь
<TConstruct:slime.grass>, Слизневая трава
<TConstruct:slime.grass.tall>, Слизневая трава
<TConstruct:slime.leaves>, Слизневая листва
<TConstruct:slime.pad>, Прыжковая панель
<TConstruct:slime.sapling>, Слизневый саженец
<TConstruct:strangeFood>, Желатиновая слизь
<TConstruct:swordBlade>, Деревянное лезвие меча
<TConstruct:titleIcon>, Призвать существо - Синий слизень
<TConstruct:toolRod>, Деревянный стержень
<TConstruct:toolShard>, Деревянный осколок
<TConstruct:toughBinding>, Деревянное прочное крепление
<TConstruct:toughRod>, Деревянный прочный стержень
<TConstruct:trap.barricade.birch>, Баррикада из берёзы
<TConstruct:trap.barricade.jungle>, Баррикада из тропического дерева
<TConstruct:trap.barricade.oak>, Баррикада из дуба
<TConstruct:trap.barricade.spruce>, Баррикада из ели
<TConstruct:trap.punji>, Колышек
<TConstruct:travelBelt>, Пояс путешественника
<TConstruct:travelBoots>, Ботинки путешественника
<TConstruct:travelGlove>, Перчатки путешественника
<TConstruct:travelGoggles>, Очки путешественника
<TConstruct:travelVest>, Жилет путешественника
<TConstruct:travelWings>, Крылья путешественника
<TConstruct:wideGuard>, Деревянная широкая гарда
<TConstruct:woodPattern>, item.tconstruct.Pattern.ingot.name
<Thaumcraft:ArcaneDoorKey>, Железный магический ключ
<Thaumcraft:BlockJarFilledItem>, Банка с эссенцией
<Thaumcraft:BlockJarNodeItem>, Узел ауры в банке
<Thaumcraft:BootsTraveller>, Сапоги путешественника
<Thaumcraft:FocusExcavation>, Набалдашник: Копание
<Thaumcraft:FocusFire>, Набалдашник: Огонь
<Thaumcraft:FocusFrost>, Набалдашник: Заморозка
<Thaumcraft:FocusHellbat>, Набалдашник: 9 кругов ада
<Thaumcraft:FocusPech>, Набалдашник: Гномье проклятие
<Thaumcraft:FocusPortableHole>, Набалдашник: Червоточина
<Thaumcraft:FocusPouch>, Сумка для набалдашников
<Thaumcraft:FocusPrimal>, Набалдашник: Сингулярность
<Thaumcraft:FocusShock>, Набалдашник: Шок
<Thaumcraft:FocusTrade>, Набалдашник: Равноценный обмен
<Thaumcraft:FocusWarding>, Набалдашник: Укрепление
<Thaumcraft:GolemBell>, Хрустальный колокольчик
<Thaumcraft:HandMirror>, Магическое зеркало (Ручное)
<Thaumcraft:HoverHarness>, Таумостатический ранец
<Thaumcraft:ItemAmuletRunic>, Амулет рунного щита
<Thaumcraft:ItemAmuletVis>, Камень Вис
<Thaumcraft:ItemArcaneDoor>, Магическая дверь
<Thaumcraft:ItemAxeElemental>, Топор Потока
<Thaumcraft:ItemAxeThaumium>, Таум-топор
<Thaumcraft:ItemAxeVoid>, Пустотный топор
<Thaumcraft:ItemBathSalts>, Очищающая соль
<Thaumcraft:ItemBaubleBlanks>, Обычный амулет
<Thaumcraft:ItemBootsCultist>, Ботинки культиста
<Thaumcraft:ItemBootsRobe>, Сапоги тауматурга
<Thaumcraft:ItemBootsThaumium>, Таум-ботинки
<Thaumcraft:ItemBootsVoid>, Пустотные ботинки
<Thaumcraft:ItemBottleTaint>, Порча в бутылке
<Thaumcraft:ItemBowBone>, Костяной лук
<Thaumcraft:ItemBucketDeath>, Ведро жидкой смерти
<Thaumcraft:ItemBucketPure>, Ведро очищающей жидкости
<Thaumcraft:ItemChestplateCultistLeaderPlate>, Кираса Претора культистов
<Thaumcraft:ItemChestplateCultistPlate>, Кираса культиста
<Thaumcraft:ItemChestplateCultistRobe>, Мантия культиста
<Thaumcraft:ItemChestplateFortress>, Боевая таум-кираса
<Thaumcraft:ItemChestplateRobe>, Мантия тауматурга
<Thaumcraft:ItemChestplateThaumium>, Таум-кираса
<Thaumcraft:ItemChestplateVoid>, Пустотная кираса
<Thaumcraft:ItemChestplateVoidFortress>, Пустотная мантия тауматурга
<Thaumcraft:ItemCompassStone>, Зловещий камень
<Thaumcraft:ItemCrystalEssence>, Кристаллизированная эссенция
<Thaumcraft:ItemEldritchObject>, Глаз Древних
<Thaumcraft:ItemEssence>, Стеклянный пузырёк
<Thaumcraft:ItemGirdleHover>, Таумостатический пояс
<Thaumcraft:ItemGirdleRunic>, Пояс рунного щита
<Thaumcraft:ItemGoggles>, Очки откровения
<Thaumcraft:ItemGolemCore>, Сердце голема
<Thaumcraft:ItemGolemDecoration>, Аксессуар: Цилиндр
<Thaumcraft:ItemGolemPlacer>, Соломенный голем
<Thaumcraft:ItemGolemUpgrade>, Улучшение голема: Воздух
<Thaumcraft:ItemHelmetCultistLeaderPlate>, Шлем Претора культистов
<Thaumcraft:ItemHelmetCultistPlate>, Шлем культиста
<Thaumcraft:ItemHelmetCultistRobe>, Капюшон культиста
<Thaumcraft:ItemHelmetFortress>, Боевой таум-шлем
<Thaumcraft:ItemHelmetThaumium>, Таум-шлем
<Thaumcraft:ItemHelmetVoid>, Пустотный шлем
<Thaumcraft:ItemHelmetVoidFortress>, Пустотный капюшон тауматурга
<Thaumcraft:ItemHoeElemental>, Мотыга Роста
<Thaumcraft:ItemHoeThaumium>, Таум-мотыга
<Thaumcraft:ItemHoeVoid>, Пустотная мотыга
<Thaumcraft:ItemInkwell>, Чернильница с пером
<Thaumcraft:ItemLeggingsCultistLeaderPlate>, Поножи Претора культистов
<Thaumcraft:ItemLeggingsCultistPlate>, Поножи культиста
<Thaumcraft:ItemLeggingsCultistRobe>, Шаровары культиста
<Thaumcraft:ItemLeggingsFortress>, Боевые таум-поножи
<Thaumcraft:ItemLeggingsRobe>, Шаровары тауматурга
<Thaumcraft:ItemLeggingsThaumium>, Таум-поножи
<Thaumcraft:ItemLeggingsVoid>, Пустотные поножи
<Thaumcraft:ItemLeggingsVoidFortress>, Пустотные шаровары тауматурга
<Thaumcraft:ItemLootBag>, Обычное сокровище
<Thaumcraft:ItemManaBean>, Магический боб
<Thaumcraft:ItemNugget>, Железный самородок
<Thaumcraft:ItemNuggetBeef>, Кусочек говядины
<Thaumcraft:ItemNuggetChicken>, Кусочек курятины
<Thaumcraft:ItemNuggetFish>, Кусочек рыбки
<Thaumcraft:ItemNuggetPork>, Кусочек свинины
<Thaumcraft:ItemPickThaumium>, Таум-кирка
<Thaumcraft:ItemPickVoid>, Пустотная кирка
<Thaumcraft:ItemPickaxeElemental>, Кирка Огня
<Thaumcraft:ItemPrimalCrusher>, Сингулярный крушитель
<Thaumcraft:ItemResearchNotes>, Записки исследований
<Thaumcraft:ItemResonator>, Резонатор
<Thaumcraft:ItemResource>, Алюментум
<Thaumcraft:ItemRingRunic>, Кольцо защиты
<Thaumcraft:ItemSanityChecker>, Психический детектор
<Thaumcraft:ItemSanitySoap>, Лечащее мыло
<Thaumcraft:ItemShard>, Грозовой кристалл
<Thaumcraft:ItemShovelElemental>, Лопата Землероя
<Thaumcraft:ItemShovelThaumium>, Таум-лопата
<Thaumcraft:ItemShovelVoid>, Пустотная лопата
<Thaumcraft:ItemSpawnerEgg>, Призвать существо - Злой зомби
<Thaumcraft:ItemSwordCrimson>, Багровый меч
<Thaumcraft:ItemSwordElemental>, Меч Бури
<Thaumcraft:ItemSwordThaumium>, Таум-меч
<Thaumcraft:ItemSwordVoid>, Пустотный меч
<Thaumcraft:ItemThaumometer>, Таумометр
<Thaumcraft:ItemThaumonomicon>, Таумономикон
<Thaumcraft:ItemWispEssence>, Эфирная эссенция
<Thaumcraft:ItemZombieBrain>, Мозг зомби
<Thaumcraft:PrimalArrow>, Грозовая стрела
<Thaumcraft:TripleMeatTreat>, Мясное ассорти
<Thaumcraft:TrunkSpawner>, Ходячий сундук
<Thaumcraft:WandCap>, Железный наконечник
<Thaumcraft:WandCasting>, Обитый железом деревянный жезл
<Thaumcraft:WandRod>, Великодревесный стержень
<Thaumcraft:blockAiry>, Узел ауры
<Thaumcraft:blockAlchemyFurnace>, Улучшенная алхимическая печь
<Thaumcraft:blockArcaneDoor>, Магическая дверь
<Thaumcraft:blockArcaneFurnace>, Адская печь
<Thaumcraft:blockCandle>, Белая свеча
<Thaumcraft:blockChestHungry>, Голодный сундук
<Thaumcraft:blockCosmeticDoubleSlabStone>, tile.blockCosmeticDoubleSlabStone.name
<Thaumcraft:blockCosmeticDoubleSlabWood>, tile.blockCosmeticDoubleSlabWood.name
<Thaumcraft:blockCosmeticOpaque>, Янтарный блок
<Thaumcraft:blockCosmeticSlabStone>, Плита из магического камня
<Thaumcraft:blockCosmeticSlabWood>, Плита из великого дерева
<Thaumcraft:blockCosmeticSolid>, Обсидиановый тотем
<Thaumcraft:blockCrystal>, Грозовой кристальный кластер
<Thaumcraft:blockCustomOre>, Киноварь
<Thaumcraft:blockCustomPlant>, Саженец великого дерева
<Thaumcraft:blockEldritch>, Алтарь древних
<Thaumcraft:blockEldritchNothing>, tile.blockPortalNothing.name
<Thaumcraft:blockEssentiaReservoir>, Резервуар эссенции
<Thaumcraft:blockFluidDeath>, Жидкая смерть
<Thaumcraft:blockFluidPure>, Очищающая жидкость
<Thaumcraft:blockFluxGas>, Заражённый газ
<Thaumcraft:blockFluxGoo>, Заражённая слизь
<Thaumcraft:blockHole>, Пустое место
<Thaumcraft:blockJar>, Банка
<Thaumcraft:blockLifter>, Магический подъёмник
<Thaumcraft:blockLootCrate>, Забытый ящик
<Thaumcraft:blockLootUrn>, Старая ваза
<Thaumcraft:blockMagicBox>, tile.blockMagicBox.name
<Thaumcraft:blockMagicalLeaves>, Листва великого дерева
<Thaumcraft:blockMagicalLog>, Древесина великого дерева
<Thaumcraft:blockManaPod>, tile.blockManaPod.name
<Thaumcraft:blockMetalDevice>, Тигель
<Thaumcraft:blockMirror>, Магическое зеркало
<Thaumcraft:blockPortalEldritch>, Древний портал
<Thaumcraft:blockStairsArcaneStone>, Лестница из магического камня
<Thaumcraft:blockStairsEldritch>, Лестница из древнего камня
<Thaumcraft:blockStairsGreatwood>, Лестница из великого дерева
<Thaumcraft:blockStairsSilverwood>, Лестница из серебряного дерева
